"Rhodeus amarus","['freshwater']","native","['Paffendume', 'Bitterling', 'Bauerkärpflein', 'Bille', 'Bitterfisch', 'Blaukärpfli', 'Blecke', 'Burghoferl', 'Kobauch', 'Lieschkarpfen', 'Pille', 'Plätteln', 'Plättken', 'Schbneiderkarpfen', 'Schniederkarpfen', 'Weberle', 'Wittfisch']","","11.20 cm TL male/unsexed"
"Acipenser baerii","['freshwater', 'brakish', 'marine']","introduced","['Sibirischer Stör', 'Stör']","occasional","200 cm TL male/unsexed"
"Acipenser ruthenus","['freshwater', 'brakish']","introduced","['Sterlet', 'Sterlett', 'Kleiner Stöhr', 'Stierl', 'Stör', 'Störl', 'Sturl', 'Stürl']","scarce","125 cm TL male/unsexed"
"Agonus cataphractus","['brakish', 'marine']","native","['Steinpicker']","common","21.00 cm TL male/unsexed"
"Alosa fallax","['brakish', 'marine']","native","['Finte', 'Bajeckens', 'Elben', 'Abzeln', 'Alse', 'Boje', 'Elf', 'Elft', 'Finke', 'Goldfisch', 'Gurre', 'Mutterhering', 'Parpel', 'Perpel', 'Staffhering', 'Tabarre']","scarce","60.00 cm SL male/unsexed"
"Sardina pilchardus","['brakish', 'marine']","native","['Sardine', 'Pilchard']","","27.50 cm SL male/unsexed"
"Ammodytes marinus","['brakish', 'marine']","native","['Kleiner Sandaal', 'Tobiasfisch', 'Tobis']","scarce","25.00 cm TL male/unsexed"
"Ammodytes tobianus","['brakish', 'marine']","native","['Tobiasfisch', 'Kleiner Sandaal']","common","20.00 cm SL male/unsexed"
"Gymnammodytes semisquamatus","['marine']","native","['Nacktsandaal', 'Kleiner Sandaal']","","30.00 cm SL male/unsexed"
"Hyperoplus lanceolatus","['brakish', 'marine']","native","['Tobis', 'Großer Sandaal', 'Großer Tobiasfisch', 'Sandaal', 'Sandspierling']","common","40.00 cm SL male/unsexed"
"Anarhichas lupus","['marine']","native","['Gestreifter Katfisch', 'Gestreifter Seewolf', 'Seewolf', 'Karbonadenfisch', 'Katfisch', 'Steinbeißer']","occasional","150 cm TL male/unsexed"
"Anguilla anguilla","['freshwater', 'brakish', 'marine']","native","['Europäischer Aal', 'Ahlen', 'Blankaal', 'Flussaal', 'Gelbaal', 'Gemeiner Aal', 'Gemeiner Flußaal', 'Aal', 'Aalpricken']","common","122 cm TL male/unsexed ;133 cm TL female"
"Atherina presbyter","['brakish', 'marine']","native","['Priesterfisch', 'Aehrenfisch', 'Ährenfisch', 'Streifenfisch']","","20.00 cm TL male/unsexed"
"Belone belone","['brakish', 'marine']","native","['Hornhecht', 'Gemeiner Hornhecht', 'Gewöhnlicher Hornhecht', 'Grünknochen', 'Hornfisch', 'Hornfisch', 'Schneefell', 'Sturmfisch']","common","104 cm TL male/unsexed"
"Lipophrys pholis","['marine']","native","['Schan', 'Schleimlerche']","","17.00 cm TL male/unsexed"
